time,temperature,windBearing,windSpeed,ozone,pressure
2018-10-05 19:00:00,19.1,207,2.13,273.7,1012.9
2018-10-05 20:00:00,17.88,204,1.64,276.2,1013.0
2018-10-05 21:00:00,16.97,205,1.71,278.1,1012.8
2018-10-05 22:00:00,16.18,208,1.95,280.0,1012.8
2018-10-05 23:00:00,15.37,208,2.05,281.6,1012.6
2018-10-06 00:00:00,14.53,206,1.97,282.8,1012.2
2018-10-06 01:00:00,13.62,205,1.76,283.6,1011.5
2018-10-06 02:00:00,13.1,202,1.3,285.5,1011.4
2018-10-06 03:00:00,12.48,216,1.14,286.5,1010.9
2018-10-06 04:00:00,12.01,232,1.06,287.4,1010.7
2018-10-06 05:00:00,11.43,230,1.01,288.5,1010.2
2018-10-06 06:00:00,11.01,185,0.96,289.8,1009.6
2018-10-06 07:00:00,10.75,119,0.97,291.3,1008.9
2018-10-06 08:00:00,11.26,358,2.31,292.8,1008.9
2018-10-06 09:00:00,11.37,349,2.79,294.4,1009.4
2018-10-06 10:00:00,11.98,4,3.28,296.2,1009.4
2018-10-06 11:00:00,12.16,19,3.76,298.2,1009.4
2018-10-06 12:00:00,12.15,20,4.21,300.5,1009.5
2018-10-06 13:00:00,11.64,17,4.72,303.0,1009.7
2018-10-06 14:00:00,9.75,9,6.26,303.9,1010.6
2018-10-06 15:00:00,9.47,10,6.5,305.9,1010.9
2018-10-06 16:00:00,9.42,14,6.51,308.0,1011.1
2018-10-06 17:00:00,9.72,17,6.61,310.5,1011.5
2018-10-06 18:00:00,10.2,18,6.78,313.9,1012.1
2018-10-06 19:00:00,10.51,18,6.92,317.7,1012.8
2018-10-06 20:00:00,10.4,16,6.62,327.1,1013.8
2018-10-06 21:00:00,10.65,18,6.78,330.0,1014.7
2018-10-06 22:00:00,10.84,19,7.16,331.8,1015.7
2018-10-06 23:00:00,10.75,20,7.23,332.7,1016.7
2018-10-07 00:00:00,10.49,19,7.1,332.5,1017.4
2018-10-07 01:00:00,10.1,17,6.71,331.4,1017.4
2018-10-07 02:00:00,9.3,8,6.55,325.4,1017.8
2018-10-07 03:00:00,8.86,8,6.12,324.2,1018.5
2018-10-07 04:00:00,8.41,9,5.68,323.5,1019.3
2018-10-07 05:00:00,7.96,9,5.19,322.2,1020.1
2018-10-07 06:00:00,7.26,7,4.73,320.0,1020.8
2018-10-07 07:00:00,6.65,7,4.24,317.4,1021.5
2018-10-07 08:00:00,6.74,2,3.82,313.3,1022.2
2018-10-07 09:00:00,6.91,1,3.53,310.6,1022.7
2018-10-07 10:00:00,7.67,0,3.38,308.0,1023.4
2018-10-07 11:00:00,8.76,0,3.14,305.5,1023.7
2018-10-07 12:00:00,10.4,7,2.76,303.0,1023.9
2018-10-07 13:00:00,11.97,14,2.33,300.7,1024.0
2018-10-07 14:00:00,13.66,2,1.81,300.7,1023.9
2018-10-07 15:00:00,14.68,332,1.64,299.1,1023.7
2018-10-07 16:00:00,15.35,291,1.6,297.5,1023.3
2018-10-07 17:00:00,14.28,295,1.57,296.0,1023.1
2018-10-07 18:00:00,13.65,21,1.51,294.7,1023.2
2018-10-07 19:00:00,12.43,155,1.43,293.5,1023.3
2018-10-07 20:00:00,11.15,239,1.32,293.8,1023.6
2018-10-07 21:00:00,10.34,260,1.6,293.3,1023.6
2018-10-07 22:00:00,9.43,253,2.01,292.8,1023.8
2018-10-07 23:00:00,8.64,241,2.34,292.0,1023.8
2018-10-08 00:00:00,7.81,236,2.39,290.9,1023.7
2018-10-08 01:00:00,7.14,230,2.32,289.6,1023.0
